Period,Return on Assets
2022-12-31,-3.1026
2022-09-30,-0.9631
2022-06-30,1.8554
2022-03-31,6.5591
2021-12-31,8.4050
2021-09-30,9.1595
2021-06-30,11.0572
2021-03-31,10.4603
2020-12-31,9.1259
2020-09-30,9.1723
2020-06-30,9.1612
2020-03-31,8.6970
2019-12-31,7.4603
2019-09-30,8.2656
2019-06-30,7.6693
2019-03-31,8.5691
2018-12-31,9.7221
2018-09-30,5.8441
2018-06-30,5.1974
2018-03-31,4.9622
2017-12-31,5.4036
2017-09-30,3.9353
2017-06-30,5.5472
2017-03-31,2.3457
2016-12-31,0.5232
2016-09-30,0.0706
2016-06-30,0.8073
2016-03-31,-0.3410
2015-12-31,-12.5672
2015-09-30,-9.8471
2015-06-30,-15.3892
2015-03-31,-14.6251
2014-12-31,-3.6226
2014-09-30,24.1242
2014-06-30,20.3370
2014-03-31,19.6263
2013-12-31,24.1134
2013-09-30,-5.9238
2013-06-30,1.5790
2013-03-31,-2.5185
2012-12-31,-10.3888
2012-09-30,-16.1233
2012-06-30,-19.9052
2012-03-31,-10.4688
2011-12-31,-6.3724
2011-09-30,-3.8608
2011-06-30,1.6811
2011-03-31,4.4586
2010-12-31,3.1631
2010-07-31,-3.5003
2010-04-30,-10.4861
2010-01-31,-13.3594
2009-10-31,-14.5674
2009-07-31,-13.6862
2009-04-30,-2.3460
2009-01-31,8.5616
2008-10-31,9.9540
2008-07-31,11.5315
2008-04-30,-0.6356
2008-01-31,-19.6936
2007-10-31,-17.1834
2007-07-31,-17.9399
2007-04-30,-21.2185
2007-01-31,-20.6563
2006-10-31,-20.8501
2006-07-31,-17.0909
2006-04-30,-9.9207
2006-01-31,-5.1444
2005-10-31,3.9425
2005-07-31,8.7068
2005-04-30,10.7463
2005-01-31,10.3661
2004-10-31,8.0933
2004-07-31,4.1433
2004-04-30,7.2601
2004-01-31,12.0637
2003-10-31,16.5437
2003-07-31,17.6739
2003-04-30,19.2119
2003-01-31,19.7759
2002-10-31,17.8053
2002-07-31,15.0934
2002-04-30,14.0442
2002-01-31,8.0572
2001-10-31,3.8549
2001-07-31,0.3301
2001-04-30,1.5767
2001-01-31,6.5646
2000-10-31,2.2842
2000-07-31,8.4626
2000-04-30,9.5661
2000-01-31,10.6346
1999-10-31,11.3971
1999-07-31,10.4967
1999-04-30,10.6187
1999-01-31,12.3224
1998-10-31,14.1006
1998-07-31,6.9005
1998-04-30,0.7184
1998-01-31,-5.2345
